ID,PREDICTIT_NAME,PREDICTIT_SHORT_NAME,PREDICTIT_URL
6867,Which party will win the 2024 U.S. presidential election?,Which party wins the presidency in 2024?,https://www.predictit.org/markets/detail/6867/Which-party-will-win-the-2024-US-presidential-election
6874,Which party will control the Senate after 2022 election?,Who will control the Senate after 2022?,https://www.predictit.org/markets/detail/6874/Which-party-will-control-the-Senate-after-2022-election
6892,Which party will win the House in the 2022 election?,Which party will win the House in 2022?,https://www.predictit.org/markets/detail/6892/Which-party-will-win-the-House-in-the-2022-election
6953,Will Kamala Harris file to run for president before 2023?,Harris files for President before 2023?,https://www.predictit.org/markets/detail/6953/Will-Kamala-Harris-file-to-run-for-president-before-2023
6975,Will Mike Pence file to run for president before 2023?,Pence files for President before 2023?,https://www.predictit.org/markets/detail/6975/Will-Mike-Pence-file-to-run-for-president-before-2023
7013,Will a woman be elected U.S. president in 2024?,Woman president in 2024?,https://www.predictit.org/markets/detail/7013/Will-a-woman-be-elected-US-president-in-2024
7014,Will Alexandria Ocasio-Cortez file to run for president before 2024?,AOC files for President before 2024?,https://www.predictit.org/markets/detail/7014/Will-Alexandria-Ocasio-Cortez-file-to-run-for-president-before-2024
7016,Which party will win the U.S. Senate election in Pennsylvania in 2022?,Which party will win the PA Senate race?,https://www.predictit.org/markets/detail/7016/Which-party-will-win-the-US-Senate-election-in-Pennsylvania-in-2022
7017,Which party will win the U.S. Senate election in North Carolina in 2022?,Which party will win the NC Senate race?,https://www.predictit.org/markets/detail/7017/Which-party-will-win-the-US-Senate-election-in-North-Carolina-in-2022
7024,Which party will win the U.S. Senate election in Florida in 2022?,Which party will win the FL Senate race?,https://www.predictit.org/markets/detail/7024/Which-party-will-win-the-US-Senate-election-in-Florida-in-2022
7053,Who will win the 2024 Republican presidential nomination?,GOP 2024 presidential nominee?,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination
7057,Who will win the 2024 Democratic presidential nomination?,Democratic 2024 presidential nominee?,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination
7085,Which party will win the U.S. Senate election in Ohio in 2022?,Which party will win the OH Senate race?,https://www.predictit.org/markets/detail/7085/Which-party-will-win-the-US-Senate-election-in-Ohio-in-2022
7107,Which party will win the 2022 U.S. Senate election in Georgia?,Which party will win the GA Senate race?,https://www.predictit.org/markets/detail/7107/Which-party-will-win-the-2022-US-Senate-election-in-Georgia
7112,Which party will win the 2022 U.S. Senate election in Arizona?,Which party will win the AZ Senate race?,https://www.predictit.org/markets/detail/7112/Which-party-will-win-the-2022-US-Senate-election-in-Arizona
7117,Which of these 10 African leaders will leave office next?,Next African leader out?,https://www.predictit.org/markets/detail/7117/Which-of-these-10-African-leaders-will-leave-office-next
7118,Will Marjorie Taylor Greene be re-elected to the House in 2022?,Greene re-elected to the House in 2022?,https://www.predictit.org/markets/detail/7118/Will-Marjorie-Taylor-Greene-be-re-elected-to-the-House-in-2022
7130,Which party will win the 2022 U.S. Senate election in New Hampshire?,Which party will win the NH Senate race?,https://www.predictit.org/markets/detail/7130/Which-party-will-win-the-2022-US-Senate-election-in-New-Hampshire
7131,Which party will win the 2022 U.S. Senate election in Nevada?,Which party will win the NV Senate race?,https://www.predictit.org/markets/detail/7131/Which-party-will-win-the-2022-US-Senate-election-in-Nevada
7132,Which party will win the 2022 U.S. Senate election in Wisconsin?,Which party will win the WI Senate race?,https://www.predictit.org/markets/detail/7132/Which-party-will-win-the-2022-US-Senate-election-in-Wisconsin
7136,Will Joe Biden resign during his first term?,Will Biden resign during his first term?,https://www.predictit.org/markets/detail/7136/Will-Joe-Biden-resign-during-his-first-term
7158,Which state will hold the first Democratic primary for the 2024 nominee?,First primary in 2024 Dem. nomination?,https://www.predictit.org/markets/detail/7158/Which-state-will-hold-the-first-Democratic-primary-for-the-2024-nominee
7172,What will be the balance of power in Congress after the 2022 election?,Balance of power after 2022 election?,https://www.predictit.org/markets/detail/7172/What-will-be-the-balance-of-power-in-Congress-after-the-2022-election
7176,Which party will win the U.S. Senate election in Alaska in 2022?,Which party will win the AK Senate race?,https://www.predictit.org/markets/detail/7176/Which-party-will-win-the-US-Senate-election-in-Alaska-in-2022
7204,Which party will win the 2022 U.S. Senate election in Missouri?,Which party will win the MO Senate race?,https://www.predictit.org/markets/detail/7204/Which-party-will-win-the-2022-US-Senate-election-in-Missouri
7208,Which party will win the 2022 U.S. Senate election in Iowa?,Which party will win the IA Senate race?,https://www.predictit.org/markets/detail/7208/Which-party-will-win-the-2022-US-Senate-election-in-Iowa
7209,Will Xi Jinping be re-elected CCP General Secretary before 2023?,Xi re-elected CCP Gen. Sec. before 2023?,https://www.predictit.org/markets/detail/7209/Will-Xi-Jinping-be-re-elected-CCP-General-Secretary-before-2023
7210,Will Hu Chunhua be elected to the CCP Politburo Standing Committee before 2023?,Hu Chunhua on Politburo St. Cte by 2023?,https://www.predictit.org/markets/detail/7210/Will-Hu-Chunhua-be-elected-to-the-CCP-Politburo-Standing-Committee-before-2023
7211,Who will win the 2022 Florida gubernatorial election?,Florida gubernatorial election winner?,https://www.predictit.org/markets/detail/7211/Who-will-win-the-2022-Florida-gubernatorial-election
7254,How many incumbent U.S. Senators will be re-elected in 2022?,How many Senators re-elected in 2022?,https://www.predictit.org/markets/detail/7254/How-many-incumbent-US-Senators-will-be-re-elected-in-2022
7257,Who will win the 2022 Massachusetts gubernatorial election?,MA gubernatorial election winner?,https://www.predictit.org/markets/detail/7257/Who-will-win-the-2022-Massachusetts-gubernatorial-election
7258,Who will win the 2022 New Hampshire Republican Senate nomination?,NH Republican Senate nomination winner?,https://www.predictit.org/markets/detail/7258/Who-will-win-the-2022-New-Hampshire-Republican-Senate-nomination
7266,Will Donald Trump file to run for president before 2023?,Trump files for President before 2023?,https://www.predictit.org/markets/detail/7266/Will-Donald-Trump-file-to-run-for-president-before-2023
7274,Will Lisa Murkowski be re-elected in 2022?,Will Murkowski be re-elected?,https://www.predictit.org/markets/detail/7274/Will-Lisa-Murkowski-be-re-elected-in-2022
7288,Who will win the 2022 Florida Democratic Senate nomination?,FL Democratic Senate nomination winner?,https://www.predictit.org/markets/detail/7288/Who-will-win-the-2022-Florida-Democratic-Senate-nomination
7326,Who will be Speaker of the House of Representatives in the next Congress?,Who'll be Speaker in the next Congress?,https://www.predictit.org/markets/detail/7326/Who-will-be-Speaker-of-the-House-of-Representatives-in-the-next-Congress
7327,Will Donald Trump run for the House of Representatives in 2022?,Trump for Congress in 2022?,https://www.predictit.org/markets/detail/7327/Will-Donald-Trump-run-for-the-House-of-Representatives-in-2022
7358,Who will be elected president of Brazil in 2022?,Brazil presidential winner in 2022?,https://www.predictit.org/markets/detail/7358/Who-will-be-elected-president-of-Brazil-in-2022
7377,Which party will win the 2022 Michigan gubernatorial election?,Which party will win MI governor's race?,https://www.predictit.org/markets/detail/7377/Which-party-will-win-the-2022-Michigan-gubernatorial-election
7378,Which party will win the 2022 Wisconsin gubernatorial election?,Which party will win WI governor's race?,https://www.predictit.org/markets/detail/7378/Which-party-will-win-the-2022-Wisconsin-gubernatorial-election
7380,Which party will win the 2022 Pennsylvania gubernatorial election?,Which party will win PA governor's race?,https://www.predictit.org/markets/detail/7380/Which-party-will-win-the-2022-Pennsylvania-gubernatorial-election
7383,Which party will win the 2022 Arizona gubernatorial election?,Which party will win AZ governor's race?,https://www.predictit.org/markets/detail/7383/Which-party-will-win-the-2022-Arizona-gubernatorial-election
7384,Which party will win the 2022 Kansas gubernatorial election?,Which party will win KS governor's race?,https://www.predictit.org/markets/detail/7384/Which-party-will-win-the-2022-Kansas-gubernatorial-election
7386,Which party will win the 2022 Georgia gubernatorial election?,Which party will win GA governor's race?,https://www.predictit.org/markets/detail/7386/Which-party-will-win-the-2022-Georgia-gubernatorial-election
7387,Which party will win the 2022 Maryland gubernatorial election?,Which party will win MD governor's race?,https://www.predictit.org/markets/detail/7387/Which-party-will-win-the-2022-Maryland-gubernatorial-election
7391,Which party will win the 2022 Nevada gubernatorial election?,Which party will win NV governor's race?,https://www.predictit.org/markets/detail/7391/Which-party-will-win-the-2022-Nevada-gubernatorial-election
7394,Which party will win the 2022 Maine gubernatorial election?,Which party will win ME governor's race?,https://www.predictit.org/markets/detail/7394/Which-party-will-win-the-2022-Maine-gubernatorial-election
7411,Who will win the 2022 Wyoming At-Large election?,WY-AL '22: Cheney or Trump challenger?,https://www.predictit.org/markets/detail/7411/Who-will-win-the-2022-Wyoming-At-Large-election
7419,Will Kamala Harris be the 47th US president?,Harris the 47th US president?,https://www.predictit.org/markets/detail/7419/Will-Kamala-Harris-be-the-47th-US-president
7456,Who will win the 2024 US presidential election?,2024 presidential election winner?,https://www.predictit.org/markets/detail/7456/Who-will-win-the-2024-US-presidential-election
7485,"Will Joe Biden be impeached by June 30, 2023?",Will Biden be impeached by 6/30/2023?,"https://www.predictit.org/markets/detail/7485/Will-Joe-Biden-be-impeached-by-June-30,-2023"
7492,How many of the 2021 GOP Trump impeachers will be re-elected?,GOP Trump impeachers re-elected?,https://www.predictit.org/markets/detail/7492/How-many-of-the-2021-GOP-Trump-impeachers-will-be-re-elected
7518,Which of these ten G20 leaders will leave office next?,Next G20 leader out?,https://www.predictit.org/markets/detail/7518/Which-of-these-ten-G20-leaders-will-leave-office-next
7520,Which of these 13 Cabinet members will leave first?,First WH Cabinet member to leave?,https://www.predictit.org/markets/detail/7520/Which-of-these-13-Cabinet-members-will-leave-first
7528,Who will win the 2022 Massachusetts Republican gubernatorial nomination?,Massachusetts GOP gubernatorial nominee?,https://www.predictit.org/markets/detail/7528/Who-will-win-the-2022-Massachusetts-Republican-gubernatorial-nomination
7532,Which party will win the 2022 U.S. Senate election in Utah?,Which party will win the UT Senate race?,https://www.predictit.org/markets/detail/7532/Which-party-will-win-the-2022-US-Senate-election-in-Utah
7534,Who will be elected Los Angeles mayor in 2022?,Los Angeles mayoral election winner?,https://www.predictit.org/markets/detail/7534/Who-will-be-elected-Los-Angeles-mayor-in-2022
7544,"Who will be Senate majority leader on Feb. 1, 2023?","Sen. Majority leader on Feb. 1, 2023?","https://www.predictit.org/markets/detail/7544/Who-will-be-Senate-majority-leader-on-Feb-1,-2023"
7548,Which party will win the 2022 U.S. Senate election in Colorado?,Which party will win the CO Senate race?,https://www.predictit.org/markets/detail/7548/Which-party-will-win-the-2022-US-Senate-election-in-Colorado
7566,Who will win the 2022 Texas gubernatorial election?,Who wins Texas governor?,https://www.predictit.org/markets/detail/7566/Who-will-win-the-2022-Texas-gubernatorial-election
7576,Which party will win the 2022 Minnesota gubernatorial election?,Which party will win MN governor's race?,https://www.predictit.org/markets/detail/7576/Which-party-will-win-the-2022-Minnesota-gubernatorial-election
7580,Who will win the 2022 Alaska gubernatorial election?,Who wins Alaska governor?,https://www.predictit.org/markets/detail/7580/Who-will-win-the-2022-Alaska-gubernatorial-election
7586,How many Senate seats will the GOP control after the midterms?,GOP Senate seats after midterms?,https://www.predictit.org/markets/detail/7586/How-many-Senate-seats-will-the-GOP-control-after-the-midterms
7590,Which party will win the 2022 Oregon gubernatorial election?,Which party will win OR governor's race?,https://www.predictit.org/markets/detail/7590/Which-party-will-win-the-2022-Oregon-gubernatorial-election
7595,Which party will win the 2022 Connecticut gubernatorial election?,Which party will win CT governor's race?,https://www.predictit.org/markets/detail/7595/Which-party-will-win-the-2022-Connecticut-gubernatorial-election
7609,Which party will win the 2022 US Senate election in Vermont?,Which party will win the VT Senate race?,https://www.predictit.org/markets/detail/7609/Which-party-will-win-the-2022-US-Senate-election-in-Vermont
7617,Will any incumbent senator lose a primary?,Any incumbent senator loses primary?,https://www.predictit.org/markets/detail/7617/Will-any-incumbent-senator-lose-a-primary
7629,Will Kamala Harris be on the 2024 Democratic ticket?,Harris on 2024 Democratic ticket?,https://www.predictit.org/markets/detail/7629/Will-Kamala-Harris-be-on-the-2024-Democratic-ticket
7632,How many Republican governors will there be after the midterms?,GOP governors after midterms?,https://www.predictit.org/markets/detail/7632/How-many-Republican-governors-will-there-be-after-the-midterms
7634,Which 2022 Senate race will be the closest?,Closest Senate race in 2022?,https://www.predictit.org/markets/detail/7634/Which-2022-Senate-race-will-be-the-closest
7636,Which of these 10 European leaders will leave office next?,Next European leader out?,https://www.predictit.org/markets/detail/7636/Which-of-these-10-European-leaders-will-leave-office-next
7639,How many incumbent governors will lose primaries in 2022?,How many governors will lose primaries?,https://www.predictit.org/markets/detail/7639/How-many-incumbent-governors-will-lose-primaries-in-2022
7642,Will Joe Biden issue a veto before 2023?,Biden issues a veto before 2023?,https://www.predictit.org/markets/detail/7642/Will-Joe-Biden-issue-a-veto-before-2023
7652,Which party will win the 2022 New Mexico gubernatorial election?,Which party will win NM governor's race?,https://www.predictit.org/markets/detail/7652/Which-party-will-win-the-2022-New-Mexico-gubernatorial-election
7659,Which party will win the 2022 Illinois gubernatorial election?,Which party will win IL governor's race?,https://www.predictit.org/markets/detail/7659/Which-party-will-win-the-2022-Illinois-gubernatorial-election
7673,How many tie-breaking Senate votes will Kamala Harris cast in 2022?,Harris tie-breakers in 2022?,https://www.predictit.org/markets/detail/7673/How-many-tie-breaking-Senate-votes-will-Kamala-Harris-cast-in-2022
7685,Who will win the 2022 Florida Democratic gubernatorial nomination?,Florida Democratic nominee for governor?,https://www.predictit.org/markets/detail/7685/Who-will-win-the-2022-Florida-Democratic-gubernatorial-nomination
7692,Will the Senate break legislative filibuster with less than 3/5 support in 2022?,Filibuster ends with <60 votes in 2022?,https://www.predictit.org/markets/detail/7692/Will-the-Senate-break-legislative-filibuster-with-less-than-3-5-support-in-2022
7693,Will Israel hold a national election for Knesset in 2022?,New Israeli elections in 2022?,https://www.predictit.org/markets/detail/7693/Will-Israel-hold-a-national-election-for-Knesset-in-2022
7697,Will Rochelle Walensky remain CDC director through the end of the year?,Walensky CDC director through 2022?,https://www.predictit.org/markets/detail/7697/Will-Rochelle-Walensky-remain-CDC-director-through-the-end-of-the-year
7702,Will Anthony Fauci remain NIAID director through the end of the year?,Fauci NIAID director through 2022?,https://www.predictit.org/markets/detail/7702/Will-Anthony-Fauci-remain-NIAID-director-through-the-end-of-the-year
7704,Which party will win the 2022 Ohio gubernatorial election?,Which party will win OH governor's race?,https://www.predictit.org/markets/detail/7704/Which-party-will-win-the-2022-Ohio-gubernatorial-election
7715,Will Trump be charged with a crime in Georgia by Sept. 1?,Trump indicted in Georgia by Sept. 1?,https://www.predictit.org/markets/detail/7715/Will-Trump-be-charged-with-a-crime-in-Georgia-by-Sept-1
7729,Will marijuana be rescheduled under the Controlled Substances Act in 2022?,Marijuana federally rescheduled in 2022?,https://www.predictit.org/markets/detail/7729/Will-marijuana-be-rescheduled-under-the-Controlled-Substances-Act-in-2022
7735,Who will win the Democratic nomination in the NY-11 House election?,NY-11 Democratic nominee?,https://www.predictit.org/markets/detail/7735/Who-will-win-the-Democratic-nomination-in-the-NY-11-House-election
7749,Which party will win the 2022 US Senate election in Oregon?,Which party will win the OR Senate race?,https://www.predictit.org/markets/detail/7749/Which-party-will-win-the-2022-US-Senate-election-in-Oregon
7760,Will Vladimir Putin remain president of Russia through 2022?,Putin Russian president through 2022?,https://www.predictit.org/markets/detail/7760/Will-Vladimir-Putin-remain-president-of-Russia-through-2022
7767,Will Alexander Lukashenko remain president of Belarus through 2022?,Lukashenko in office throughout 2022?,https://www.predictit.org/markets/detail/7767/Will-Alexander-Lukashenko-remain-president-of-Belarus-through-2022
7769,Which party will win the 2022 US Senate election in Washington?,Which party will win the WA Senate race?,https://www.predictit.org/markets/detail/7769/Which-party-will-win-the-2022-US-Senate-election-in-Washington
7771,Who will be the 2022 Oklahoma special election Republican Senate nominee?,OK GOP special Senate nominee?,https://www.predictit.org/markets/detail/7771/Who-will-be-the-2022-Oklahoma-special-election-Republican-Senate-nominee
7774,Will Donald Trump be indicted by Sept. 1?,Trump indicted by Sept. 1?,https://www.predictit.org/markets/detail/7774/Will-Donald-Trump-be-indicted-by-Sept-1
7793,Which of these 10 Latin American leaders will leave office next?,Next Latin American leader out?,https://www.predictit.org/markets/detail/7793/Which-of-these-10-Latin-American-leaders-will-leave-office-next
7804,Who will win the Canadian Conservative leadership election?,Canadian conservative leadership winner?,https://www.predictit.org/markets/detail/7804/Who-will-win-the-Canadian-Conservative-leadership-election
7806,Who will win the 2022 Alaska at-large special election?,Alaska at-large special winner?,https://www.predictit.org/markets/detail/7806/Who-will-win-the-2022-Alaska-at-large-special-election
7818,What will be the corporate tax rate for 2023?,Corporate tax rate for 2023?,https://www.predictit.org/markets/detail/7818/What-will-be-the-corporate-tax-rate-for-2023
7837,Which party will win the 2022 New York gubernatorial election?,Which party will win NY governor's race?,https://www.predictit.org/markets/detail/7837/Which-party-will-win-the-2022-New-York-gubernatorial-election
7846,Will Boris Johnson remain British prime minister through August?,Johnson stays UK PM through August?,https://www.predictit.org/markets/detail/7846/Will-Boris-Johnson-remain-British-prime-minister-through-August
7853,Will Dianne Feinstein remain a US senator through Sept. 30?,Feinstein remains senator through 9/30?,https://www.predictit.org/markets/detail/7853/Will-Dianne-Feinstein-remain-a-US-senator-through-Sept-30
7874,Who will win the 2022 Rhode Island Democratic gubernatorial nomination?,Rhode Island Dem nominee for governor?,https://www.predictit.org/markets/detail/7874/Who-will-win-the-2022-Rhode-Island-Democratic-gubernatorial-nomination
7883,Which party will win the 2022 Colorado gubernatorial election?,Which party will win CO governor's race?,https://www.predictit.org/markets/detail/7883/Which-party-will-win-the-2022-Colorado-gubernatorial-election
7884,Which party will win the 2022 US Senate election in Illinois?,Which party will win the IL Senate race?,https://www.predictit.org/markets/detail/7884/Which-party-will-win-the-2022-US-Senate-election-in-Illinois
7918,What will be the vote margin in the Pennsylvania Republican Senate primary?,PA-Sen GOP primary margin of victory?,https://www.predictit.org/markets/detail/7918/What-will-be-the-vote-margin-in-the-Pennsylvania-Republican-Senate-primary
7927,Who will win the Democratic nomination in the NY-10 House election?,NY-10 Democratic nominee?,https://www.predictit.org/markets/detail/7927/Who-will-win-the-Democratic-nomination-in-the-NY-10-House-election
7929,Who will win the Democratic nomination in the NY-17 House election?,NY-17 Democratic nominee?,https://www.predictit.org/markets/detail/7929/Who-will-win-the-Democratic-nomination-in-the-NY-17-House-election
7935,Who will win the Democratic nomination in the NY-12 House election?,NY-12 Democratic nominee?,https://www.predictit.org/markets/detail/7935/Who-will-win-the-Democratic-nomination-in-the-NY-12-House-election
7943,Who will be elected San Jose mayor in 2022?,San Jose mayoral election winner?,https://www.predictit.org/markets/detail/7943/Who-will-be-elected-San-Jose-mayor-in-2022
7966,Which party will win the 2022 House special election in NY-19?,NY-19 special election party winner?,https://www.predictit.org/markets/detail/7966/Which-party-will-win-the-2022-House-special-election-in-NY-19
8014,"Who will win the Democratic nomination for Montgomery County, MD executive?",Montgomery County exec Dem nominee?,"https://www.predictit.org/markets/detail/8014/Who-will-win-the-Democratic-nomination-for-Montgomery-County,-MD-executive"
8019,Who will win the UK Conservative Party leadership election?,Next UK Conservative leader?,https://www.predictit.org/markets/detail/8019/Who-will-win-the-UK-Conservative-Party-leadership-election
8042,Will the Alaska at-large first round leader also win the special election?,First round leader wins AK-AL election?,https://www.predictit.org/markets/detail/8042/Will-the-Alaska-at-large-first-round-leader-also-win-the-special-election
8043,Who will win the most votes in the 2022 Alaska Senate primary?,Most votes in AK Sen. primary?,https://www.predictit.org/markets/detail/8043/Who-will-win-the-most-votes-in-the-2022-Alaska-Senate-primary
8044,Who will lead the first round of the 2022 Alaska at-large special election?,Alaska at-large first round leader?,https://www.predictit.org/markets/detail/8044/Who-will-lead-the-first-round-of-the-2022-Alaska-at-large-special-election
8046,What will be the margin in the Arizona Republican gubernatorial primary?,AZ gov GOP primary margin?,https://www.predictit.org/markets/detail/8046/What-will-be-the-margin-in-the-Arizona-Republican-gubernatorial-primary
8051,What percentage of the Wyoming at-large primary vote will Liz Cheney win?,Liz Cheney vote share?,https://www.predictit.org/markets/detail/8051/What-percentage-of-the-Wyoming-at-large-primary-vote-will-Liz-Cheney-win
8052,What will be the margin in the Michigan Republican gubernatorial primary?,MI gov GOP primary margin?,https://www.predictit.org/markets/detail/8052/What-will-be-the-margin-in-the-Michigan-Republican-gubernatorial-primary
8054,Who will come in second place in the 2022 Alaska at-large special election?,Alaska at-large special second place?,https://www.predictit.org/markets/detail/8054/Who-will-come-in-second-place-in-the-2022-Alaska-at-large-special-election
8055,What will be the margin in the TN-05 Republican primary?,TN-05 Republican primary margin?,https://www.predictit.org/markets/detail/8055/What-will-be-the-margin-in-the-TN-05-Republican-primary